name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
SDSSXCS-124,0.80087,9e-05,9e-05,-6.09197,9e-05,7e-05,73.0762,1.4357,1.5261,0.9298,0.0063,0.0063
SDSSXCS-2789,0.95684,0.00018,0.00015,2.06663,0.00018,0.00018,71.188,0.951,1.1975,0.8781,0.0067,0.0057
SDSSXCS-290,2.72281,0.00031,0.0003,29.16079,0.00026,0.00031,-83.2815,36.6899,128.5479,0.9976,0.0205,0.0121
SDSSXCS-1018,4.40763,0.00018,0.00015,-0.8768,0.0002,0.00022,-65.8471,6.451,7.9756,0.9508,0.0164,0.0142
SDSSXCS-134,4.9085,8e-05,0.0001,3.60944,8e-05,0.00011,86.0134,1.4178,1.4332,0.9793,0.0068,0.0073
SDSSXCS-119,8.46513,0.00046,0.00034,-7.86275,0.00049,0.00051,56.6903,5.0642,4.2324,0.8325,0.0252,0.0209
SDSSXCS-209,9.2766,0.00012,0.0001,9.15797,0.00012,0.00015,46.8453,1.1047,1.2073,0.8089,0.0067,0.0084
SDSSXCS-15,11.62744,0.0003,0.00033,20.46923,0.0003,0.00032,-6.0889,3.6948,4.5385,0.9844,0.0089,0.0112
SDSSXCS-71,13.99813,0.00016,0.00016,26.33362,0.00018,0.00018,-64.3547,4.8449,4.1897,0.9473,0.0089,0.0075
SDSSXCS-5020,16.06191,0.00057,0.00042,25.0846,0.00054,0.00052,-72.5933,10.7826,8.6964,0.9574,0.0219,0.0269
SDSSXCS-2346,16.44849,0.00145,0.0007,-0.34031,0.0009,0.00097,4.8588,81.8357,62.0573,0.9941,0.0501,0.0208
SDSSXCS-586,16.54005,0.00067,0.0006,0.85123,0.00093,0.00068,-60.7635,9.5652,10.6809,0.9079,0.038,0.0373
SDSSXCS-11331,16.70592,6e-05,7e-05,1.05712,7e-05,6e-05,-47.6424,5.4773,4.3874,0.9383,0.0115,0.0104
SDSSXCS-28849,17.95432,0.00092,0.00091,-0.01754,0.00073,0.0009,53.4161,17.7769,23.712,0.9288,0.0555,0.0571
SDSSXCS-31144,18.60391,0.00045,0.00057,0.49534,0.00052,0.00074,54.2306,7.8063,8.2645,0.8628,0.0306,0.0392
SDSSXCS-239,28.17558,0.00013,0.00014,1.00789,0.00017,0.00015,-77.0319,2.1032,1.8573,0.9303,0.0115,0.0113
SDSSXCS-395,28.39185,0.0002,0.00022,-1.30442,0.00021,0.00021,76.4623,2.6018,2.6205,0.9446,0.0114,0.0112
SDSSXCS-944,29.28347,0.00042,0.00045,-5.87373,0.00044,0.00056,-30.3466,4.4804,4.9433,0.9257,0.013,0.0118
SDSSXCS-593,29.60459,0.00025,0.00023,-1.78195,0.00033,0.00027,89.5233,2.353,1.7438,0.9942,0.0115,0.0056
SDSSXCS-35404,30.19012,0.00053,0.00073,-6.70701,0.00051,0.00068,-40.2183,19.7701,18.3811,0.9212,0.0374,0.0403
SDSSXCS-7190,30.32966,0.00062,0.00062,-6.83247,0.00068,0.00064,-31.2303,40.3776,42.0346,0.9652,0.0529,0.0281
SDSSXCS-7783,30.4297,0.00011,9e-05,-2.19659,7e-05,0.0001,56.0134,2.7646,3.6029,0.9296,0.0092,0.0096
